kekuleSmiles	Molecule ChEMBL ID	pAct(norm)	DrugName	Assay Cell Type	Obs	ActivityFilter	Type	nre
O=C(C=1C=CC(=CC1OC[C@@H](O)CN2CCC3(CC2)CC=4C=C(C=CC4O3)Cl)F)N5CC[C@@H](C5)O	CHEMBL2391800	6.15		HEK293	pIC50	active	other	6162
CN1C(=O)NC2=C1C(=NC(=N2)N3N=C(C4=C3C=CC(=C4)Cl)CC=5C=CC=CC5F)N	CHEMBL4789662	3.92		None	pIC50	inactive	other	6163
CN(C)CC=1C=NN(C1)C=2C=CN=C3C2N=C(N3)C4=CN(C5=C4C=C(C=C5)S(=O)(=O)C)C	CHEMBL4776352	3.8		None	pIC50	inactive	other	6164
CNC(=O)C=1C=CC2=C(C1)C(=CN2C)C3=NC=4C(=CC=NC4N3)N5C=C(C=N5)CN(C)C	CHEMBL4754597	3.8		None	pIC50	inactive	other	6165
CN1C=CC2=C1C=CC=C2C3=NC=4C(=CC=NC4N3)N5C=C(C=N5)CN6CC[C@@H](C6)O	CHEMBL4748597	3.8		None	pIC50	inactive	other	6166
CC1=NN(C=C1CN2CC[C@@H](C2)O)C=3C=CN=C4C3N=C(N4)C=5C=CC=C6C5C=CN6C	CHEMBL4760511	4.57		None	pIC50	inactive	other	6167
CC(C)(C)N1N=C(C(=C1N)C(=O)N)C=2C=CC=3C=C(C=CC3C2)OC4CC4	CHEMBL4791496	4.57		None	pIC50	inactive	other	6168
CCOC=1C=CC=2C=C(C=CC2C1)C3=NN(C(=C3C(=O)N)N)C(C)(C)CO	CHEMBL4750746	3.92		None	pIC50	inactive	other	6169
CC1=CC(=O)OC2=C1C=CC(=C2Cl)OCCCCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F	CHEMBL2387229	5.8		HEK293	pIC50	intermediate	other	6170
CCOC=1C=CC=2C=C(C=NC2C1)C3=NN(C(=C3C(=O)N)N)C(C)CCO	CHEMBL3769570	3.92		None	pIC50	inactive	other	6171
O=C1C=C(C=2C=CC(=CC2O1)OCCCCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F)C=6C=CC=CC6	CHEMBL2387265	6.09		HEK293	pIC50	active	other	6172
O=C(O)CSC1=NN=C(N1C=2C=CC(=C3C2C=CC=C3)C4CC4)Br	CHEMBL2105720	3.92	lesinurad	None	pIC50	inactive	other	6173
CCCC1=CN(C2=C1C=C(C=C2)Cl)C=3C=CC(=CC3)F	CHEMBL52348	4.59		CHO	pIC50	inactive	other	6174
O=S(=O)(C=1C=CC=C2C1C=CC=N2)N3CCNCC3	CHEMBL1366616	4.55		None	potency	inactive	other	6175
CC(C)(C)CCN1CCC(CC1)(CNC(=O)NC=2C=CC=C(C2)Cl)C=3C=CC=CC3	CHEMBL488294	7.06		None	pIC50	active	other	6176
CN(C)C=1C=CC(=CC1)N	CHEMBL36296	4.45		None	potency	inactive	other	6177
CC(C)COC(=O)COC=1C=C(C(=CC1Cl)Cl)Cl	CHEMBL1404169	4.4		None	potency	inactive	other	6178
CC[C@@H]1CC=2C=C(C=CC2C3=C1C=4C=CC(=CC4C[C@H]3CC)O)O	CHEMBL282489	4.6		None	potency	inactive	other	6179
CC=1C=CC=C(C1OCC(N)C(C)C)C	CHEMBL1480136	4.45		None	potency	inactive	other	6180
CC(C)C[C@H](NC(=O)[C@H](O)[C@H](N)CC=1C=CC=CC1)C(=O)O	CHEMBL1257100	4.4	ubenimex	None	potency	inactive	other	6181
O=C(/C=C/C=1C=CC(=C(C1)O)O)OC2C[C@](C[C@H]([C@H]2O)O)(O)C(=O)O	CHEMBL1419611	4.5		None	potency	inactive	other	6182
CN1CCN(CC1)C=2C=CC=3C=CC=CC3N2	CHEMBL1410748	4.45		None	potency	inactive	other	6183
COC[C@@H]1C[C@H]2[C@@H]3CC[C@H]4N(C(=O)C=C[C@@]4([C@H]3CC[C@@]2([C@H]1O)C)C)C	CHEMBL538877	4.41		None	pKi	inactive	other	6184
N#CC=1C=CC(=CC1)C=2C=CC(=CC2)C[C@@H](C#N)NC(=O)C3(CCCCC3)N	CHEMBL3261924	5.05		None	pIC50	intermediate	other	6185
COC=1C=C(C(=C(C1)OC)/C=C/S(=O)(=O)CC=2C=NC(=C(C2)NS(=O)(=O)C)OC)OC	CHEMBL3261266	4		CHO	pIC50	inactive	other	6186
CN1C2=C(C3=C1C=CC(=C3)C(=O)NCCCC(=O)NC4CC4)CC(CC2)C5CCOCC5	CHEMBL2029720	3.91		None	pIC50	inactive	other	6187
CS(=O)(=O)CC=1C=C(N=C(N1)NC(=O)C2=CC=NO2)N3CCOCC3	CHEMBL2030450	3.88		None	pIC50	inactive	other	6188
NC(=S)NCCCC(N)C(=O)O	CHEMBL1608298	4.45		None	potency	inactive	other	6189
N=C1C=CC(=C(C=2C=CC(=CC2)N)C=3C=CC(=CC3)N)C=C1	CHEMBL1609459	4.35		None	potency	inactive	other	6190
C=1C=CC(=CC1)NC=2C=CC=C3C2C=CC=C3	CHEMBL170408	4.55		None	potency	inactive	other	6191
C#CCOC(=O)C1=CCCN(C1)C	CHEMBL1255649	4.45		None	potency	inactive	other	6192
CC1=NN=C(C=2C=C3C(=CC2C1)OCO3)C=4C=CC(=CC4)N	CHEMBL1370663	4.45		None	potency	inactive	other	6193
N=C1N=C(C2=C1C=C3C(=C2)C=CC=C3)N	CHEMBL1492884	4.55		None	potency	inactive	other	6194
C=1C=CC(=CC1)CSCC=2C=CC=CC2	CHEMBL1369381	4.5		None	potency	inactive	other	6195
CCOC=1C=CC=2N=C(SC2C1)N	CHEMBL565755	4.55		None	potency	inactive	other	6196
CC=1C=CC2=C(C1N)C(=O)C=3C=CC=CC3C2=O	CHEMBL1413787	4.45		None	potency	inactive	other	6197
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl	CHEMBL388676	4.57		None	potency	inactive	other	6198
CC(C)(C=1C=CC(=CC1)O)C=2C=CC(=CC2)O	CHEMBL418971	4.5		None	potency	inactive	other	6199
C=C(Cl)CSC(=S)N(CC)CC	CHEMBL538146	4.4		None	potency	inactive	other	6200
NCCNC(=O)C=1N=CSC1C=2C=CC=C(C2)F	CHEMBL1256290	4.45		None	potency	inactive	other	6201
COC=1C=C(C=CC1NC=2N=CC(=C(N2)C3=CN=C4N3C=CC=C4)Cl)OC5CCNCC5	CHEMBL1809050	5.32		None	pIC50	intermediate	other	6202
O=C(N[C@@H](CC=1C=CC=CC1)C(=O)CCl)OCC=2C=CC=CC2	CHEMBL303579	4.6		None	potency	inactive	other	6203
COC=1C=C(C=CC1NC=2N=CC(=C(N2)C3=CN=C4N3C=CC=C4)Cl)CC(=O)N5CCOCC5	CHEMBL1809056	5.06		None	pIC50	intermediate	other	6204
COC=1C=CC=CC1N2N=C(C=C2C3=CSC(=C3)Cl)C4CC(OC(C4)(C)C)(C)C	CHEMBL4277584	4.59		None	pIC50	inactive	other	6205
COC=1C=C(C=CC1NC=2N=CC(=C(N2)C3=CN=C4N3C=CC=C4)Cl)N5CCNCC5	CHEMBL1809061	5.34		None	pIC50	intermediate	other	6206
COC=1C=C(C=CC1NC=2N=CC(=C(N2)C3=CN=C4N3C=CC=C4)Cl)CN5CCOCC5	CHEMBL1809054	5		None	pIC50	intermediate	other	6207
CN(C)CCCCSC(=N)N	CHEMBL1398213	4.45		None	potency	inactive	other	6208
CNC(=O)C=1C=CC(=C(C1)OC)NC=2N=C(C=3C(=CNC3N2)C=4C=CC=5N=C(OC5C4)C)OC6CCCC6	CHEMBL4062218	3.88		None	pIC50	inactive	other	6209
COC=1C=C(C=CC1C=2C=NC=C(C2)C3CCCN3)F	CHEMBL1779009	5.06		CHO-K1	pIC50	intermediate	other	6210
COC=1C=CC=2C(=CC=NC2C1)OC=3C=CC(=C(C3)OC)CC(=O)NC4=CN(N=C4C)C	CHEMBL2023803	3.4		None	pIC50	inactive	other	6211
COC=1C=C(C=CC1C=2C=NC=C(C2)CNC(=O)C=3C=CC=CN3)F	CHEMBL1779013	4.57		CHO-K1	pIC50	inactive	other	6212
