kekuleSmiles	Molecule ChEMBL ID	pAct(norm)	DrugName	Assay Cell Type	Obs	ActivityFilter	Type	nre
CC1=NC=C(N1C(C)C)C=2C=CN=C(N2)NC=3C=CC(=C(C3)F)C(=O)N	CHEMBL455427	5		None	pIC50	intermediate	patch	3492
CNC(=O)C=1C=CC(=CC1F)NC=2N=CC(=C(N2)C3=CN=C(N3C(C)C)C)F	CHEMBL455651	4.72		None	pIC50	intermediate	patch	3493
C[C@@H](O)C1=NC=2C=NC=3NC=CC3C2N1[C@H]4CC[C@@H](CC4)CC#N	CHEMBL2386635	3.4		HEK293	pIC50	inactive	patch	3494
CC(=O)NC=1C=C(C=CC1C(C)C)NC=2C=C(N3N=CC(=C3N2)C#N)NC4CC4	CHEMBL2409176	3.88		CHO	pIC50	inactive	patch	3495
CC(=O)N1CCC(CC1)C(=O)N(CCCN2CCN(CC2)CC=3C=CC(=CC3)F)C=4C=CC(=C(C4)Cl)C	CHEMBL2017374	5.74		HEK293	pIC50	intermediate	patch	3496
CCC=1C=C2C(=NC1CNC34CCC(CC3)(OC4)C[C@@]5(CN6C(=O)C=CC7=C6C5=C(C=N7)F)O)NC(=O)CO2	CHEMBL3425802	3.62		CHO	pIC50	inactive	patch	3497
CN1C(=NN=C1C=2C=CN=CC2)SCCCN3CC[C@@]4(C3)C[C@H]4C=5C=CC(=CC5)C(F)(F)F	CHEMBL3947961	6.65		HEK293	pIC50	active	patch	3498
O=C1C=CC=2N=CC(=C3C2N1C[C@@]3(O)CC45CCC(CC4)(CO5)NCC=6C=C7C(=CN6)SCCO7)F	CHEMBL3425816	3.62		CHO	pIC50	inactive	patch	3499
CC1=NC=C(N1C(C)C)C=2C=CN=C(N2)NC=3C=CC(=C(C3)F)C(=O)N(C)C	CHEMBL510436	5.52		None	pIC50	intermediate	patch	3500
O[C@H]1CC[C@@H](CC1)NC=2C=CN3N=CC(=C3N2)C=4C=CC=C(C4)OC(F)(F)F	CHEMBL3355544	3.92		None	pIC50	inactive	patch	3501
CC=1N=CC(=C(N1)C(=O)N2CCC(CC2)[C@H](N)CC=3C=C(C(=CC3F)F)F)C	CHEMBL485123	4.07		None	pIC50	inactive	patch	3502
COC=1C=CC=2N=CC=C(C2C1)[C@@H](O)CC[C@@H]3CCN(C[C@@H]3C(=O)O)C4CC(C4)C=5C(=CC=CC5F)F	CHEMBL2382343	4.32		HEK293	pIC50	inactive	patch	3503
COC=1C=CC=2N=CC=C(C2C1)[C@@H](O)CC[C@@H]3CCN(C[C@@H]3C(=O)O)C4CC(C4)C=5C=CC=CC5	CHEMBL2382287	4.6		HEK293	pIC50	inactive	patch	3504
CC(C)(O)[C@H]1CC[C@@H](CC1)NC=2C=CC3=NC=C(N3N2)C=4C=CC=C(C4)OC(F)(F)F	CHEMBL3917577	3.92		None	pIC50	inactive	patch	3505
O[C@H]1CC[C@@H](CC1)NC=2C=CN3N=CC(=C3N2)C=4C=CC=C(C4)C(F)(F)F	CHEMBL3355550	3.92		None	pIC50	inactive	patch	3506
